28087861	73	6	6	119	83	86	
28088893	6	74	6	81	6	85	
28089925	12	176	10	126	10	141	
28090957	4	22	4	3	4	21	
28091989	3	2	5	3	4	54	
28093021	8	9	137	9	141	129	
28094053	21	7	119	25	138	106	
28095085	244	14	13	208	255	233	
28096117	95	5	6	121	100	96	
28097149	6	60	5	80	6	68	
28098181	11	175	11	138	10	146	
28099213	5	36	6	6	4	33	
28100245	3	3	5	2	4	54	
28101277	6	7	121	8	121	113	
28102309	5	7	129	8	133	106	
28103341	241	17	14	230	255	248	
28104373	114	7	7	123	122	99	
28105405	4	46	4	73	5	54	
28106437	11	176	11	150	11	142	
28107469	4	47	6	6	4	50	
28108501	4	3	5	3	5	51	
28109533	7	7	107	8	107	98	
28110565	6	8	150	9	150	124	
28111597	225	15	14	226	250	255	
28112629	132	9	6	116	138	104	
28113661	4	33	6	60	4	39	
28114693	9	172	11	165	11	143	
28115725	5	62	6	7	5	61	
28116757	4	3	4	3	4	54	
28117789	7	7	98	7	96	81	
28118821	7	10	154	8	156	138	
28119853	208	16	13	219	229	230	
28120885	150	9	7	115	162	115	
28121917	4	19	4	73	5	28	
28122949	12	173	11	152	9	159	
28123981	5	75	7	15	5	65	
28125013	4	3	5	3	4	51	
28126045	6	6	82	5	81	67	
28127077	8	9	172	9	174	158	
28128109	193	13	11	201	209	210	
28129141	167	11	8	133	184	135	
28130173	2	8	3	85	4	13	
28131205	11	175	12	138	10	168	
28132237	5	86	6	26	5	66	
28133269	3	3	4	3	4	45	
28134301	5	5	64	6	63	58	
28135333	9	10	191	9	196	174	
28136365	170	13	12	178	185	193	
28137397	187	11	10	149	200	156	
28138429	3	4	3	87	5	7	
28139461	12	174	11	131	10	186	
28140493	6	103	7	41	5	65	
28141525	3	2	4	4	4	44	
28142557	4	5	49	5	45	49	
28143589	9	10	195	9	194	173	
28144621	153	12	13	159	171	174	
28145653	202	12	10	166	228	174	
28146685	3	3	3	85	5	7	
28147717	12	159	10	116	10	172	
28148749	7	116	7	54	6	76	
28149781	3	3	4	3	3	35	
28150813	5	4	33	4	31	50	
28151845	9	10	197	10	203	164	
28152877	136	10	29	142	166	172	
28153909	224	14	10	187	245	197	
28154941	3	3	4	82	4	7	
28155973	10	148	9	100	9	154	
28157005	7	130	8	64	7	92	
28158037	3	3	4	3	4	22	
28159069	4	3	16	4	16	45	
28160101	10	11	203	11	203	168	
28161133	119	9	36	124	157	158	
28162165	237	14	12	200	255	209	
28163197	3	3	3	83	4	8	
28164229	8	131	10	86	8	141	
28165261	7	141	8	80	8	108	
28166293	3	2	3	3	3	8	
28167325	3	2	4	3	4	46	
28168357	10	11	202	11	207	187	
28169389	100	11	52	105	156	138	
28170421	235	14	12	201	255	213	
28171453	18	4	4	102	19	23	
28172485	8	120	8	76	8	125	
28173517	9	149	10	91	8	118	
28174549	3	3	5	3	3	3	
28175581	4	3	5	3	4	56	
28176613	10	11	190	11	191	186	
28177645	79	8	66	84	149	121	
28178677	239	15	12	202	255	217	
28179709	35	4	4	103	39	44	
28180741	8	104	8	81	7	110	
28181773	9	169	11	96	10	135	
28182805	2	2	3	4	3	3	
28183837	4	3	5	3	4	57	
28184869	10	9	174	10	174	170	
28185901	62	8	83	66	145	111	
28186933	243	14	13	203	255	221	
28187965	51	4	4	111	59	58	
28188997	7	90	7	82	8	98	
28190029	11	176	10	110	9	137	
28191061	3	6	5	3	3	7	
28192093	4	4	4	3	4	58	
28193125	9	10	159	10	155	151	
28194157	45	10	93	47	142	116	
28195189	235	16	12	201	255	218	
28196221	71	5	5	116	78	80	
28197253	7	78	7	80	6	87	
28198285	10	172	9	123	10	139	
28199317	3	18	4	3	3	20	
28200349	4	4	5	4	4	55	
28201381	8	8	138	9	143	134	
28202413	27	8	116	29	135	107	
28203445	237	14	12	209	255	226	
28204477	87	5	6	119	98	96	
28205509	5	65	5	78	6	72	
28206541	9	168	11	136	10	141	
28207573	5	31	5	6	4	31	
28208605	4	4	4	4	4	56	
28209637	8	7	124	7	125	120	
28210669	10	7	129	12	134	104	
28211701	237	16	12	222	255	243	
28212733	106	7	6	118	119	99	
28213765	4	49	5	77	5	60	
28214797	11	170	11	149	10	143	
28215829	4	45	5	5	4	44	
28216861	4	3	5	3	5	51	
28217893	6	7	110	7	109	98	
28218925	7	9	143	8	149	116	
28219957	233	15	15	235	255	249	
28220989	127	7	7	120	141	102	
28222021	4	37	5	62	5	42	
28223053	11	176	11	161	10	143	
28224085	5	57	5	7	5	55	
28225117	3	3	4	4	5	52	
28226149	6	6	101	6	100	83	
28227181	7	9	155	7	156	136	
28228213	215	14	13	227	239	234	
28229245	146	9	7	110	157	107	
28230277	3	23	4	72	4	30	
28231309	10	180	11	157	12	154	
28232341	6	71	6	11	5	67	
28233373	4	4	4	3	4	52	
28234405	6	5	89	5	84	67	
28235437	8	8	169	10	178	154	
28236469	197	13	12	205	211	213	
28237501	161	10	9	122	174	135	
28238533	3	11	4	85	4	16	
28239565	11	177	10	144	10	167	
28240597	7	82	7	23	5	68	
28241629	3	3	5	4	4	45	
28242661	5	5	66	5	67	59	
28243693	8	10	187	9	190	172	
28244725	179	12	12	184	195	199	
28245757	182	11	10	145	195	154	
28246789	3	3	3	83	4	7	
28247821	10	174	11	132	11	179	
28248853	6	96	7	37	6	70	
28249885	2	2	4	3	4	45	
28250917	4	5	53	5	51	53	
28251949	8	10	192	11	193	174	
